SA2_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
307011175,0,4,0,35,3,0,0,0,0,0,0,0,0,0,20,27,3,0,3,0,0,0,0,0,0,5,3,11,159,20,6,77,3,47,4,32,0,94,24,469
307011176,0,0,0,27,0,0,0,0,0,0,0,0,0,3,67,77,3,0,0,0,0,0,0,0,0,4,6,12,198,22,6,104,13,50,3,27,7,121,84,635
307011177,0,0,0,53,0,0,0,0,3,0,0,0,0,3,43,54,9,0,3,0,0,0,0,0,0,7,4,32,243,35,12,97,18,46,0,31,18,139,55,694
307011178,0,0,0,17,0,0,0,0,0,0,0,0,0,0,23,26,7,0,0,0,0,0,0,0,0,7,4,18,96,22,0,50,0,36,4,19,9,156,35,431
307021179,0,4,0,31,0,0,0,0,0,3,0,0,0,0,56,67,0,0,5,0,0,4,0,0,0,22,12,47,188,52,10,160,18,98,15,84,13,579,87,1293
307021180,0,0,0,32,0,0,0,0,0,3,0,0,0,6,50,63,3,0,0,0,0,0,0,0,0,6,13,25,206,24,8,115,18,72,5,51,13,262,65,842
307021181,4,0,0,16,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,3,3,5,80,14,0,59,5,32,9,28,7,154,24,422
307021182,0,0,0,33,3,0,0,0,0,3,0,0,0,0,22,36,4,0,0,0,0,0,0,0,0,7,4,20,140,24,8,104,5,64,13,37,9,209,43,662
307021183,3,5,0,85,0,0,0,0,0,0,0,0,0,8,94,110,5,0,6,0,0,0,0,0,0,18,12,38,433,63,23,296,32,151,22,108,29,515,117,1792
307031184,0,4,0,41,0,0,0,0,0,0,0,0,0,5,29,40,0,0,5,4,0,0,0,0,0,5,8,22,143,30,9,96,7,63,5,37,11,235,44,688
307031185,0,5,0,23,0,0,0,0,0,0,0,4,0,0,28,38,0,0,3,0,0,0,0,0,0,7,7,19,123,43,7,75,11,67,10,51,8,214,43,659
307031186,0,5,0,20,4,0,0,0,0,0,0,0,5,4,30,39,0,0,3,0,0,0,0,0,3,13,9,24,115,31,10,91,8,68,6,43,15,296,42,723
307031187,0,6,0,15,0,0,0,0,0,0,0,5,0,0,32,38,0,0,0,0,0,0,0,0,0,8,9,18,85,47,4,72,8,31,9,74,6,337,45,721
307031188,0,0,0,30,0,0,0,3,0,0,0,0,0,4,38,50,0,0,0,0,0,0,0,0,0,9,6,13,129,57,10,126,19,60,8,66,13,385,46,923
307031189,0,9,0,40,0,0,0,0,0,6,0,3,0,4,70,80,3,0,0,0,0,0,0,0,0,13,18,42,268,74,11,225,24,151,21,140,20,825,101,1863
308011190,0,0,0,117,0,0,0,0,0,5,0,0,0,0,48,48,4,0,4,0,0,0,0,0,0,0,8,16,189,18,15,96,20,72,4,16,18,58,54,561
308011191,0,5,0,109,0,0,0,3,0,3,0,0,0,6,61,72,3,0,4,0,0,5,0,0,0,5,8,30,252,27,18,118,11,82,9,28,9,197,68,833
308011192,5,4,0,178,0,0,5,0,0,0,0,0,0,5,109,118,0,0,0,0,0,0,0,0,0,4,7,13,414,47,17,236,29,132,19,53,20,148,112,1234
308031205,0,0,0,16,0,0,0,0,0,0,0,0,0,3,34,40,0,0,0,0,0,0,0,0,0,3,0,6,121,23,3,80,12,59,8,32,9,193,40,574
308031206,0,0,0,15,0,0,0,0,0,0,0,0,0,0,22,28,0,0,3,0,0,0,0,0,0,0,0,5,43,7,4,34,0,29,0,14,3,85,29,249
308031207,0,9,0,55,0,0,0,0,0,0,0,0,0,0,57,57,3,0,0,0,0,0,0,0,0,10,4,12,89,32,8,72,0,73,6,58,16,389,67,828
308031208,0,0,0,99,0,0,0,0,0,0,0,0,0,0,59,62,0,0,0,0,0,0,0,0,0,4,6,18,242,32,3,150,27,94,15,65,7,344,73,1048
308031209,3,0,0,47,0,0,0,0,0,0,0,0,0,4,45,50,3,0,0,0,0,0,0,0,0,0,0,6,114,17,0,81,17,62,8,22,11,173,48,552
308031210,0,0,0,55,0,5,0,0,0,3,0,0,0,6,97,115,0,0,0,0,0,0,0,0,0,3,15,21,224,31,18,150,27,131,8,60,21,334,115,1112
308031211,3,0,0,18,0,0,0,0,0,0,0,0,0,0,26,25,0,0,0,0,0,0,0,0,0,0,7,9,104,18,4,54,5,44,6,24,7,155,34,462
308031212,0,0,0,5,0,0,0,0,0,0,0,0,0,0,13,16,0,0,0,0,0,0,0,0,0,4,5,12,19,11,3,17,3,39,7,16,4,173,22,309
308031213,0,6,0,89,0,0,0,0,0,0,0,0,0,0,63,71,0,0,4,0,0,0,0,0,0,7,8,24,214,36,12,143,17,126,13,58,17,403,76,1116
308031214,0,0,0,17,0,0,0,0,0,0,0,0,0,5,27,36,0,0,0,0,0,0,0,0,0,3,6,10,96,23,3,70,6,44,11,23,10,180,37,498
308031215,3,0,0,43,0,0,0,0,0,0,0,0,0,0,53,59,0,0,0,0,0,0,0,0,0,0,5,3,159,13,10,94,16,64,3,43,14,194,60,656
308031216,0,0,0,46,0,0,0,0,0,0,0,0,0,0,42,47,0,0,0,0,0,0,0,0,0,5,4,7,142,17,9,85,13,54,11,37,6,188,47,606
308031217,0,0,0,16,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,3,3,11,54,13,0,39,0,33,3,25,5,87,15,269
308031218,0,0,0,24,3,5,0,0,0,0,0,0,0,0,34,40,0,0,0,0,0,0,0,0,0,4,3,12,81,23,3,61,5,47,7,20,4,176,45,479
308031219,0,8,0,45,0,0,0,0,0,3,0,0,0,4,39,48,5,0,3,0,0,0,0,0,0,7,3,20,93,26,6,72,10,44,7,43,6,177,48,552
308031220,0,0,0,26,0,0,0,0,0,0,0,0,0,0,35,40,0,0,0,0,0,0,0,0,0,7,5,10,99,19,5,57,7,30,0,22,10,90,37,376
308031221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
