SA2_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
105011095,3,5,5,4,9,12,0,17,0,49,8,20,11,3,12,12,3,8,22,93,68,197,173,139,292,402,127,614,61,2074
105011096,0,0,3,0,9,14,5,7,0,36,7,3,0,3,0,4,5,11,18,54,83,211,170,126,278,279,90,463,44,1751
105021097,7,56,25,12,70,54,12,42,0,285,16,30,16,13,30,42,3,32,72,242,407,976,698,509,1557,1364,375,1127,165,7172
105021098,0,0,0,0,4,0,0,4,0,15,0,4,4,4,4,6,0,4,8,33,24,75,61,45,85,147,38,335,17,825
105031099,0,13,4,5,13,15,11,11,0,77,13,20,13,17,15,16,7,15,24,120,108,431,328,229,423,496,178,618,68,2890
105031100,4,29,20,15,47,64,16,24,3,229,5,24,13,0,47,34,8,24,38,200,202,602,519,361,1184,1104,310,680,97,5060
105031101,10,51,35,24,107,61,23,43,4,360,11,24,26,14,66,53,15,35,87,326,432,1125,935,702,2536,1975,618,1231,175,9727
105031102,7,18,16,15,35,38,10,18,0,160,10,27,9,12,34,39,12,15,46,196,165,564,449,339,1121,1024,283,576,93,4615
105031103,0,16,9,10,20,30,4,24,0,121,5,21,14,3,25,21,9,22,30,143,133,381,324,195,551,551,187,635,70,3030
105031104,0,6,8,4,16,17,0,9,0,61,7,12,0,6,16,14,0,11,21,91,85,239,187,151,283,322,82,438,48,1842
105031105,0,5,6,3,18,22,12,24,4,101,4,17,3,3,20,26,6,30,28,138,111,260,279,199,452,484,169,680,72,2705
105031106,5,14,17,4,26,22,9,13,0,108,8,21,10,6,20,16,6,19,42,148,128,413,336,250,645,555,156,536,92,3106
106011107,16,35,35,17,72,66,18,42,8,305,19,25,15,7,57,54,10,31,47,254,473,813,717,430,1210,1234,446,1107,115,6553
106011108,34,65,41,31,88,80,21,28,5,386,22,35,28,23,63,60,16,29,87,368,738,1370,986,712,1721,1598,468,912,170,8671
106011109,17,32,24,13,39,47,9,17,4,201,10,32,12,17,29,32,7,14,29,182,311,684,522,319,744,797,218,498,84,4182
106011110,4,29,27,18,35,46,11,21,0,201,14,20,11,16,30,32,13,26,26,190,261,641,525,390,708,841,257,682,103,4403
106011111,26,61,46,37,97,78,22,43,5,407,27,33,25,24,104,89,17,50,67,429,594,1181,1076,750,2044,1773,524,921,141,9014
106011112,17,39,52,17,68,80,26,56,4,370,16,31,20,14,48,53,19,52,71,317,447,1076,874,488,1356,1646,661,1646,143,8338
106011113,10,11,12,3,18,22,8,17,5,113,7,16,8,3,9,22,0,14,31,107,186,352,294,143,394,437,171,496,89,2567
106021114,8,28,16,18,38,31,8,12,3,165,4,15,16,9,33,21,12,16,29,162,266,591,476,306,902,816,263,503,66,4198
106021116,8,29,20,18,35,30,17,19,3,178,13,18,6,5,20,31,5,14,26,133,277,646,527,326,768,858,303,688,46,4444
106021614,24,54,40,27,62,72,19,40,3,343,15,34,18,10,65,78,25,37,42,328,503,1265,966,615,1891,1674,548,954,96,8509
106021615,26,60,53,28,83,70,23,53,3,397,11,42,30,15,58,64,15,41,49,320,477,1137,892,632,1722,1591,564,1183,115,8306
106021616,20,28,17,8,39,42,16,16,3,182,8,19,13,10,26,30,12,11,33,154,212,525,398,314,804,656,215,401,62,3591
106021617,10,24,24,14,37,45,9,22,5,183,5,23,17,13,30,39,5,18,35,176,284,642,549,358,901,883,277,549,71,4516
106021618,17,59,40,26,60,93,21,32,0,343,16,21,28,11,62,67,18,37,55,311,477,1088,945,633,1906,1820,531,994,94,8491
106031119,11,23,16,11,11,22,0,15,0,111,12,4,7,6,19,18,3,3,14,92,221,489,307,216,435,486,141,260,34,2595
106031120,13,13,13,5,27,16,4,3,3,99,11,11,7,15,24,16,4,6,32,117,192,417,320,219,506,420,114,235,51,2483
106031121,24,58,52,22,50,70,13,21,5,316,16,57,28,17,48,41,4,31,59,310,683,1697,1139,664,1512,1393,415,754,136,8399
106031122,23,35,35,19,74,57,20,25,3,288,9,27,22,16,66,43,16,28,76,308,395,829,714,459,1390,1072,353,571,154,5934
106031123,11,23,22,17,29,44,12,20,3,177,7,12,5,7,20,23,4,15,18,108,176,455,352,222,538,571,189,431,60,2992
106031124,0,5,7,3,13,0,4,14,0,55,8,15,12,0,14,17,4,9,12,96,119,312,238,143,268,235,82,165,46,1612
106031125,23,43,28,28,64,66,16,24,0,301,19,29,16,20,43,38,9,45,49,269,456,1013,779,548,1421,1408,392,754,124,6890
106041126,10,35,25,11,47,51,26,40,0,240,13,20,13,9,30,35,10,21,56,201,266,679,558,328,1021,974,423,940,114,5299
106041127,0,4,10,0,12,12,4,14,0,60,4,12,8,8,4,12,4,9,14,69,103,234,225,134,330,434,158,399,41,2059
106041128,4,19,14,6,18,23,8,21,0,114,5,11,4,0,16,15,7,9,20,90,114,385,286,172,637,534,229,518,43,2919
106041129,0,23,9,8,37,26,8,16,4,123,9,18,11,9,18,22,6,10,48,148,162,451,402,257,593,803,264,812,125,3865
107011131,95,54,25,18,87,100,19,43,9,436,48,45,28,20,74,93,22,29,67,420,1129,1486,1164,770,2191,2008,512,903,167,10328
107011132,71,15,14,11,47,56,13,14,4,247,21,29,19,10,42,42,7,27,37,233,614,818,715,432,1432,1221,394,575,77,6289
107011133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
107011134,58,44,25,11,51,64,9,21,0,281,15,23,26,14,35,55,15,23,31,242,676,1037,799,458,1493,1336,401,724,70,6997
107011545,58,32,24,12,40,52,6,22,0,246,19,32,18,21,39,52,15,15,64,279,565,810,613,417,1136,957,226,427,123,5273
107011546,43,23,14,7,32,30,3,9,0,169,14,19,19,8,38,33,0,9,32,163,379,502,406,256,769,581,163,230,71,3356
107011547,14,9,0,3,16,8,7,6,0,55,4,7,3,0,5,18,5,4,9,58,159,232,179,127,328,315,73,139,23,1564
107021135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4
107031136,99,62,46,15,77,75,18,39,5,428,29,38,19,14,57,59,10,35,56,322,1016,1322,1073,665,2065,1977,567,953,128,9762
107031137,23,8,11,0,28,19,9,14,0,118,8,8,6,8,25,15,8,7,31,121,309,449,320,227,639,527,163,227,71,2929
107031138,12,22,20,11,14,17,6,5,0,99,10,10,10,6,21,23,7,3,17,104,266,644,459,240,636,713,215,369,44,3587
107031139,10,15,12,8,12,14,0,6,0,83,7,7,11,10,13,14,5,7,13,80,259,465,334,220,529,515,167,302,24,2812
107031140,10,16,10,7,16,23,6,14,3,106,7,17,12,8,9,21,3,11,25,113,290,684,467,294,603,707,202,473,57,3775
107031141,79,56,28,23,57,54,14,28,9,337,36,36,27,11,54,49,9,26,29,276,975,1411,1077,689,1945,1793,555,948,110,9501
107031142,46,23,10,7,34,33,10,27,3,195,21,23,19,12,24,20,6,7,29,162,550,699,505,352,976,882,252,398,75,4683
107031143,56,34,18,20,66,51,8,15,4,275,32,46,34,18,70,54,7,28,75,368,882,1144,905,616,1609,1377,341,606,157,7642
107041144,95,56,44,15,51,50,11,35,4,360,28,50,36,12,53,59,8,27,64,341,1108,1606,1207,615,1887,1705,532,960,149,9773
107041145,66,41,25,8,61,45,16,15,4,281,25,25,30,18,52,44,11,22,42,264,729,1057,821,500,1471,1384,376,646,101,7084
107041146,71,62,38,17,61,65,20,28,0,361,20,50,31,10,62,45,10,25,39,298,1152,1863,1266,670,2082,1931,563,1030,118,10679
107041147,60,43,24,6,37,40,7,11,4,238,15,18,16,6,25,32,5,18,23,159,494,712,562,354,810,973,261,517,52,4740
107041148,36,25,21,9,24,21,7,22,0,165,11,22,23,11,16,28,5,23,20,160,540,974,706,404,877,1147,370,755,45,5821
107041150,99,50,19,14,39,50,8,21,6,317,28,30,23,12,43,60,13,32,46,289,972,1453,1139,654,1814,1905,582,1006,98,9613
107041548,60,39,35,11,53,37,9,23,4,269,28,25,25,15,50,60,11,30,60,309,921,1228,892,505,1872,1618,443,825,110,8416
107041549,56,37,28,15,38,46,13,22,0,256,24,41,27,9,49,58,3,26,56,306,868,1302,912,550,1650,1542,415,722,117,8083
108011151,0,11,0,7,8,6,5,5,0,56,14,13,5,10,15,16,0,4,20,112,139,331,252,181,356,364,105,297,53,2079
108011152,4,44,24,20,42,32,11,26,0,202,14,33,25,11,31,28,14,15,54,226,246,948,742,496,972,846,254,443,118,5072
108011153,0,12,21,6,16,11,7,9,3,88,13,26,12,5,14,21,3,12,30,135,168,505,389,247,397,395,112,258,73,2550
108011154,5,16,17,10,14,16,5,10,0,82,4,16,9,5,7,3,0,6,22,75,114,360,304,199,363,288,74,156,54,1907
108021155,4,24,28,15,51,20,13,23,3,182,11,27,12,6,42,35,4,9,60,208,269,786,710,504,1123,845,215,495,143,5082
108021156,3,16,17,9,23,21,4,9,0,109,6,26,22,14,22,23,9,21,47,189,194,635,530,368,647,627,172,443,118,3739
108021157,3,7,8,0,8,15,4,11,0,60,9,17,14,11,15,12,4,3,24,99,88,345,261,172,338,276,75,164,55,1779
108021158,0,14,12,5,22,14,7,4,0,86,8,20,8,5,16,3,4,11,27,101,107,436,307,230,437,304,75,160,61,2119
108021159,10,21,12,12,34,17,6,8,0,106,12,20,17,10,23,21,8,14,34,154,162,584,483,291,586,459,143,415,73,3193
108021160,0,18,11,4,8,11,4,4,0,62,3,8,6,0,10,11,4,0,15,66,124,373,246,163,363,321,79,173,33,1872
108031161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,11,27,48,30,27,34,45,9,13,9,241
108041162,9,50,39,25,60,53,9,29,3,279,11,29,19,14,39,38,0,20,49,227,349,1130,897,634,1311,1085,334,664,117,6514
108041164,9,60,34,24,74,67,21,24,0,323,7,41,11,18,49,42,14,12,70,264,410,1450,1056,817,1872,1518,450,760,146,8476
108041165,0,11,11,9,23,20,3,17,4,96,7,12,12,10,3,18,6,16,17,102,96,362,321,213,420,418,102,382,51,2360
108041166,14,36,34,22,63,69,25,38,0,302,5,31,15,8,42,25,8,22,31,181,248,882,642,552,1168,986,275,589,79,5426
108041619,16,36,21,19,44,42,7,21,0,196,11,30,12,11,27,22,4,19,33,168,285,994,693,540,1107,1038,252,609,73,5587
108041620,8,58,38,22,53,48,14,22,6,276,10,37,21,15,37,28,4,20,37,206,338,1304,866,724,1465,1371,378,715,92,7239
108051167,8,14,8,0,5,20,3,12,0,68,9,15,14,3,18,7,3,8,29,113,105,323,277,177,330,335,82,294,77,1993
108051168,11,22,27,14,23,33,7,21,0,153,13,26,19,18,30,18,0,16,43,185,257,774,649,444,953,837,218,500,119,4755
108051169,7,53,34,28,73,70,20,30,0,328,11,39,28,20,49,46,3,17,73,281,328,1131,1021,765,1516,1271,348,714,174,7260
108051170,6,24,18,10,30,29,9,14,3,140,21,28,12,12,35,15,4,21,53,195,281,804,642,478,810,759,240,608,130,4750
108051171,4,8,10,4,27,21,4,10,0,95,0,3,7,10,14,9,0,9,21,79,92,269,256,211,448,360,84,212,42,1988
109011172,3,49,42,27,60,71,29,32,5,313,9,33,23,14,54,64,26,39,29,288,371,1270,1086,774,1934,1903,595,1086,83,9109
109011173,5,27,24,15,41,48,14,24,0,188,5,24,18,5,42,34,13,19,30,194,226,713,589,390,1027,913,307,512,66,4746
109011174,6,17,26,15,33,42,10,15,0,166,3,30,17,14,32,25,9,17,28,174,204,742,602,459,985,957,337,678,72,5022
109011175,11,34,12,19,33,47,21,38,3,207,17,24,12,17,42,51,9,39,48,252,281,806,651,474,915,1073,348,1098,112,5753
109011176,8,45,33,12,66,60,16,33,0,281,12,38,29,18,50,63,15,23,70,316,262,1013,854,602,1435,1288,379,645,142,6625
109021177,0,7,0,0,4,8,0,7,4,45,6,12,6,3,7,10,4,10,22,83,41,173,129,102,210,240,68,296,45,1292
109021178,6,18,10,11,13,18,3,20,0,109,7,16,5,10,30,19,5,14,24,134,138,371,281,197,562,538,153,438,59,2734
109021179,5,3,3,0,4,11,3,8,0,34,4,9,3,0,9,12,7,11,22,74,63,190,172,110,231,277,119,444,39,1650
109031180,3,9,15,13,12,31,7,15,0,101,8,8,6,0,20,28,8,8,11,106,140,335,286,194,429,570,122,257,35,2371
109031181,3,20,7,5,23,14,7,14,0,92,11,18,10,15,18,16,7,13,31,143,177,465,331,240,516,585,167,555,57,3090
109031182,4,18,17,4,23,34,12,17,0,125,10,12,10,6,32,21,6,5,33,131,128,438,344,236,658,554,208,402,72,3037
109031183,0,4,0,3,8,14,0,11,0,55,6,13,11,11,23,21,7,21,27,138,141,414,318,239,398,546,156,869,72,3157
109031184,4,27,18,13,20,12,9,13,5,119,6,20,5,8,14,16,7,7,22,108,201,503,357,264,513,551,173,385,53,3000
109031185,4,24,11,12,19,31,17,21,5,139,8,21,20,12,20,30,3,17,39,152,182,618,447,295,637,709,246,727,104,3972
110011186,16,55,57,22,83,74,18,24,7,348,13,47,23,7,50,47,13,28,60,295,507,1751,1233,839,2502,1672,593,1144,161,10396
110011187,0,9,9,4,5,12,4,10,0,50,7,16,4,0,5,9,6,12,14,76,78,302,216,138,405,342,112,408,46,2044
110011188,3,15,12,8,20,14,5,9,0,83,6,10,11,9,12,19,4,10,11,94,146,382,340,231,579,473,164,402,45,2762
110011189,0,7,0,5,6,6,3,3,0,31,4,3,6,6,0,5,3,11,10,51,43,175,170,104,170,249,111,381,34,1428
110021190,6,19,17,16,28,33,4,29,0,157,9,17,16,6,29,23,0,21,43,164,143,525,431,261,588,552,148,602,89,3336
110021191,8,29,28,22,59,33,13,25,0,210,11,28,24,18,36,30,4,11,37,198,199,655,505,457,1168,854,304,543,105,4790
110021192,7,6,10,6,11,10,8,3,0,61,3,16,5,9,13,14,0,11,28,104,83,251,235,155,290,325,111,424,75,1945
110021193,4,8,4,4,16,14,4,9,3,65,12,11,3,3,13,8,0,9,21,82,72,299,267,167,318,419,116,599,59,2308
110021194,6,14,8,3,7,17,4,12,0,73,7,21,14,6,13,20,5,12,40,134,98,411,295,226,331,388,110,485,77,2431
110031195,5,16,12,12,36,38,8,25,8,153,12,15,13,4,30,19,7,33,29,164,124,317,320,221,637,650,230,641,84,3212
110031196,0,10,9,6,10,16,0,21,0,75,3,13,8,6,4,12,0,9,20,86,80,229,172,147,273,381,119,739,62,2203
110031197,4,11,18,6,34,25,19,23,4,151,5,13,8,9,31,28,6,27,31,152,127,352,310,241,711,582,241,588,78,3236
110031198,0,7,4,3,15,23,4,11,0,75,4,6,7,8,11,11,4,22,25,99,70,243,194,140,302,341,103,614,57,2071
110041199,9,31,18,11,46,41,14,43,0,228,4,7,12,4,25,22,13,22,37,144,185,510,432,313,775,685,339,946,77,4269
110041200,3,3,5,5,13,8,5,10,0,52,0,13,5,0,14,5,4,19,23,87,98,250,171,117,253,337,138,679,50,2087
110041201,0,20,10,4,34,20,5,8,3,113,7,13,15,6,23,26,4,18,19,144,131,388,330,232,532,554,182,624,78,3044
110041202,13,51,55,35,111,85,28,44,4,424,17,25,23,24,80,58,9,29,78,347,410,1241,1063,776,2353,2012,632,1187,167,9833
110041203,15,33,37,21,81,58,13,37,0,304,14,30,19,16,55,44,5,29,39,244,299,965,783,598,1732,1611,451,1043,78,7553
110041204,4,8,10,4,28,23,7,5,3,96,5,5,4,6,15,10,6,9,25,83,108,272,210,164,481,516,130,193,59,2134
110041205,12,46,29,20,87,79,20,57,3,351,18,46,24,23,51,65,16,54,85,383,406,1179,954,694,1690,1758,492,1694,182,9045
111011206,21,56,45,17,55,88,27,38,3,351,14,30,27,23,59,67,12,24,41,296,496,1275,970,705,1664,1728,471,761,95,8155
111011207,11,19,10,8,17,18,0,5,0,86,6,15,6,5,14,18,0,8,20,93,172,374,298,220,463,469,111,224,41,2375
111011208,35,71,60,33,116,74,23,33,3,452,23,34,37,21,62,98,27,37,56,392,769,1804,1609,1087,2548,2621,750,1206,133,12521
111011209,25,93,52,31,131,105,25,45,3,504,15,38,27,19,75,86,26,32,51,375,721,1754,1549,1029,2688,2457,704,1178,123,12202
111011210,12,37,28,4,45,30,7,19,0,179,7,20,16,10,24,28,4,10,22,151,200,575,443,317,798,709,185,326,49,3601
111011211,5,8,5,8,5,8,0,6,0,46,0,15,3,9,4,15,0,8,13,65,89,290,221,135,278,307,86,210,16,1637
111011212,25,48,29,15,37,24,16,15,7,200,13,38,15,10,34,48,9,16,35,212,359,830,696,431,1009,995,280,521,80,5198
111011213,18,50,34,16,45,30,16,18,0,229,10,15,14,14,22,35,12,20,27,169,323,1044,789,526,1060,1287,345,705,50,6125
111011214,16,43,28,29,43,49,11,28,0,249,10,28,24,8,48,41,3,16,31,199,405,1082,907,582,1477,1362,425,759,86,7075
111021215,19,21,18,8,51,35,9,18,3,185,8,9,17,14,29,29,10,20,32,176,261,626,520,364,951,821,232,409,79,4253
111021216,27,33,25,11,30,35,4,13,0,179,13,28,14,15,35,17,9,16,42,187,369,635,512,345,834,766,219,393,88,4159
111021217,18,50,38,39,71,101,20,31,0,377,15,18,23,11,72,73,14,21,43,291,388,1055,915,696,1997,1762,485,840,101,8244
