SA2_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
201011008,44,114,59,37,38,12,4,302,9,16,4,9,3,0,0,45,3,3,0,3,0,0,0,8,76,170,114,74,80,21,12,540,5,9,4,0,9,4,0,34,5,14,4,4,3,0,0,26,16,19,9,9,9,4,0,66,91,190,125,78,96,19,12,605,118,115,74,48,45,12,3,409,3,0,5,6,3,0,0,12,212,307,201,128,139,33,10,1030
201011481,25,42,34,24,26,0,0,153,0,5,0,3,6,0,6,21,0,0,0,0,0,0,0,0,44,68,53,37,52,12,7,272,4,0,6,0,0,0,0,10,0,6,5,4,6,0,0,23,8,10,9,6,6,0,0,38,47,78,60,39,56,12,7,313,41,54,33,29,23,10,0,182,0,0,0,0,0,0,0,0,94,130,96,71,74,22,7,495
201011482,15,42,29,24,28,16,10,158,14,0,5,3,0,0,0,18,0,0,0,0,0,0,0,0,36,71,61,45,60,27,14,310,3,4,0,0,0,0,0,11,0,3,3,0,4,0,0,8,4,11,3,0,0,0,0,17,39,77,64,42,59,27,14,328,35,41,33,18,20,12,4,159,0,0,0,0,0,0,0,3,75,122,92,66,77,35,23,491
201011483,28,71,38,29,39,13,3,221,4,0,3,0,4,0,0,14,0,4,0,0,0,0,0,6,43,106,78,54,87,25,10,408,3,7,9,4,9,0,0,28,6,8,6,0,0,0,0,29,9,14,15,7,8,0,0,57,58,117,96,58,102,25,11,464,60,55,38,22,33,5,5,214,0,0,0,0,0,0,0,0,117,170,133,88,132,28,16,680
201011484,50,88,48,44,41,4,0,276,17,13,3,3,3,0,0,45,0,3,0,0,0,0,0,5,81,134,81,74,75,16,5,465,4,7,0,5,3,0,0,24,3,6,4,0,0,0,0,14,6,9,4,8,5,0,0,39,88,140,86,79,84,16,5,508,131,117,74,40,38,13,0,413,0,0,0,0,0,0,0,8,223,263,162,124,118,28,6,924
201021009,9,24,18,8,8,3,0,65,5,4,4,0,0,0,0,13,0,0,0,0,0,0,0,0,13,45,38,17,18,5,0,144,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,7,13,45,38,23,25,5,0,147,26,24,11,6,9,0,0,67,0,0,0,0,0,0,0,8,42,68,47,31,30,5,0,218
201021010,17,33,21,15,16,3,3,104,3,7,0,4,0,0,0,17,0,0,0,0,0,0,0,0,25,51,31,25,35,7,3,180,0,8,0,0,4,0,0,17,0,4,0,0,0,0,0,4,0,4,0,0,4,0,0,16,28,57,38,28,35,11,3,196,23,21,14,4,10,0,0,73,0,0,0,0,0,0,0,0,47,74,46,31,44,11,4,265
201021011,11,16,15,20,16,0,6,84,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,14,39,30,37,40,4,4,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,11,15,39,38,37,43,4,4,171,18,30,9,11,7,0,3,85,0,0,0,0,0,0,0,4,28,71,47,53,46,6,6,261
201021012,11,18,10,10,7,0,0,63,11,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,24,27,24,23,25,6,3,125,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,24,27,21,23,30,5,3,133,5,5,5,12,0,0,0,29,0,0,0,0,0,0,0,4,26,30,33,34,33,9,5,160
201031013,3,4,13,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,12,16,5,4,0,0,54,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,3,0,0,0,0,0,6,6,16,21,8,4,0,0,63,11,6,10,6,4,0,5,36,0,0,0,0,0,0,0,4,22,28,28,13,8,0,5,100
