SA2_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
114021289,911,988,482,121,4380
115011290,1743,1283,754,228,13687
115011291,2168,1597,596,118,12574
115011294,653,513,432,167,3541
115011296,1605,1333,409,80,7543
115011553,604,468,259,54,4359
115011554,578,388,450,570,3483
115011555,1242,1024,420,96,6934
115011556,877,723,330,73,6023
115011557,595,331,97,16,2946
115011558,2167,1515,677,354,11416
115011621,1480,865,326,67,9442
115011622,742,518,340,216,6570
115021297,2261,1573,812,283,12035
115021298,620,462,272,87,3061
115031299,409,249,124,23,1649
115031300,2113,1313,474,119,11260
115041301,851,570,250,59,5429
115041623,410,240,69,11,5513
115041624,837,460,157,86,9251
115041625,1318,632,248,37,9223
116011303,831,601,279,133,9163
116011304,1087,804,316,92,9874
116011306,1652,1079,342,75,11458
116011307,1802,1292,512,160,12573
116011560,807,459,205,49,5884
116011561,1041,572,297,167,8255
116011626,1037,736,307,50,7561
116011627,625,404,201,49,6013
116021309,1253,654,207,31,8461
116021562,276,126,38,6,1952
116021563,1546,931,249,61,12966
116021628,1021,629,283,70,10873
116021629,452,290,91,9,8058
116021630,611,342,107,26,6813
116021631,448,184,50,5,5294
116021632,773,389,90,12,13671
116021633,880,479,161,29,7555
116031313,833,566,259,44,6231
116031314,480,288,97,64,3856
116031315,1533,701,182,63,9529
116031316,824,520,311,78,7829
116031317,1131,705,249,68,9085
116031318,4,0,0,0,11
116031319,1606,941,408,352,10720
117011320,20,17,0,0,358
117011321,880,481,209,74,7022
117011323,993,612,297,93,8093
117011324,4,3,0,0,7
117011325,0,0,0,0,17
117011634,609,391,236,70,4514
117011635,887,426,191,49,14059
117021327,1539,877,331,93,13208
117021328,508,275,97,25,5049
117021636,787,441,183,60,7485
117021637,962,517,204,66,8443
117031329,954,574,251,60,8276
117031330,1190,527,157,34,14225
117031331,1668,1215,488,110,14355
117031333,1693,1231,591,299,14447
117031336,1122,595,277,103,12099
117031638,502,267,100,18,5444
117031639,270,141,35,12,5907
117031640,1140,552,148,38,10359
117031641,998,825,301,65,9146
117031642,1030,637,301,90,9567
117031643,567,296,93,26,8357
117031644,723,561,280,80,6256
117031645,727,380,161,34,14972
117031646,281,166,54,22,5310
117031647,777,559,297,134,11708
117031648,391,218,59,8,9368
118011339,1405,942,514,229,13018
118011340,1273,765,364,152,14189
118011341,1320,974,615,324,11957
118011342,0,0,0,0,0
118011344,1018,762,363,127,6744
118011345,1292,940,542,184,10500
118011346,1285,961,582,307,7178
118011347,679,664,460,214,5081
118011649,1428,1222,615,224,9313
118011650,905,875,643,248,6996
118021564,757,477,306,148,7357
118021565,929,567,262,105,8219
118021566,851,574,333,230,5852
118021567,898,619,307,109,6482
118021568,750,454,241,56,5883
118021569,1194,822,495,401,10857
118021570,931,609,347,188,8377
118021651,1561,976,378,100,13409
118021652,1027,765,478,198,6517
118021653,1161,697,334,97,6775
118021654,541,342,175,75,3086
119011354,1191,821,526,278,9409
119011355,75,51,6,0,775
119011356,628,367,185,62,4904
119011358,1395,815,450,298,8636
119011360,1167,721,366,293,8483
119011361,1165,712,306,139,8967
119011571,794,490,213,88,7566
119011572,819,492,259,166,7771
119011655,788,457,205,90,5843
119011656,671,350,148,61,5095
119011657,836,492,264,59,5362
119011658,1294,765,319,126,7891
119021362,1299,684,349,174,9552
119021366,995,507,243,70,8545
119021367,944,497,267,137,6654
119021573,717,377,218,155,7710
119021574,391,194,84,27,4524
119021659,669,357,191,103,5642
119021660,485,268,102,42,4500
119021661,714,303,184,127,6500
119021662,1453,782,422,199,9002
119021663,382,255,122,55,2817
