SA2_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
212031458,7143,7232,14372,78,97,180,15,19,32,576,561,1140,13,16,26,5,4,16,3,3,9,9,6,12,0,4,4,0,0,0,0,0,0,616,620,1231,72,82,153,11,13,27,784,809,1592,278,263,538,8196,8298,16496
212031555,4145,4407,8552,52,61,110,14,12,24,628,620,1249,3,4,12,0,4,10,6,0,10,0,4,5,0,0,0,3,6,3,0,0,0,656,651,1304,34,40,68,8,6,14,751,755,1499,129,155,280,5022,5311,10332
212031556,5425,5444,10866,77,82,153,20,27,44,1338,1330,2672,4,5,7,4,8,11,5,10,10,3,9,9,0,0,0,0,0,0,0,0,0,1379,1373,2756,42,50,93,17,8,24,1512,1514,3028,247,227,476,7183,7190,14371
212031557,9445,9628,19071,183,172,355,26,16,43,1183,1232,2411,11,14,31,8,4,11,8,8,11,5,3,11,0,0,0,3,3,4,0,0,0,1235,1288,2528,74,72,145,22,26,43,1513,1559,3069,448,437,886,11402,11622,23025
212031558,4453,4658,9114,81,96,178,13,8,22,975,983,1959,12,26,34,0,0,8,9,0,5,4,5,11,0,4,7,0,0,0,0,0,0,1013,1033,2051,39,55,90,10,9,20,1143,1192,2338,278,278,558,5872,6128,12002
212031559,5335,5399,10731,71,68,139,19,11,36,555,590,1143,6,0,4,7,0,5,0,6,4,0,0,0,0,0,0,0,0,5,0,0,0,584,614,1197,50,71,122,8,3,6,718,748,1467,193,174,363,6243,6322,12561
212031560,4876,4922,9800,52,54,104,9,18,28,597,532,1126,0,0,0,0,6,11,0,0,0,8,3,11,0,0,0,0,0,0,0,0,0,608,571,1175,39,37,71,10,7,17,706,670,1375,291,284,573,5872,5873,11747
212031561,5286,5100,10386,71,91,166,12,17,31,522,509,1026,0,0,0,3,0,0,0,0,4,3,0,8,4,0,4,0,0,0,0,0,0,545,533,1076,58,55,109,21,9,28,687,689,1379,392,364,756,6369,6152,12516
212031562,5534,5320,10849,105,109,214,4,12,20,584,497,1088,8,0,10,0,0,6,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,603,523,1130,68,69,139,14,9,22,790,714,1503,421,397,813,6737,6424,13165
212041309,4963,5128,10098,64,49,113,12,9,19,363,358,723,7,8,12,3,5,5,0,0,0,0,0,0,0,3,3,3,0,4,0,0,0,382,382,761,30,45,79,5,0,11,488,469,960,200,207,412,5657,5814,11460
212041310,5197,5051,10244,236,169,405,15,13,32,955,780,1734,13,14,27,12,0,17,10,7,17,10,5,12,3,4,4,3,6,5,0,0,0,1018,835,1848,62,73,140,19,17,32,1332,1085,2420,287,263,549,6812,6396,13211
