SA2_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
505021091,14,39,23,20,15,12,14,10,3,152
505021092,1577,3457,1354,1189,1176,682,402,564,180,10589
505021093,1050,2168,990,830,1065,691,379,711,118,7995
505021094,739,1372,433,417,480,309,74,198,60,4078
505021095,824,2281,928,851,936,559,376,645,108,7503
505021096,1368,2890,549,692,829,552,151,320,92,7436
505021097,1249,2734,1030,985,1196,652,387,629,131,8996
505021301,808,1458,755,610,795,633,270,506,106,5944
505021302,742,1824,816,784,882,542,295,519,114,6521
505031098,409,610,986,750,672,462,555,799,104,5347
505031099,917,1422,1931,1633,1364,1057,977,1306,224,10826
505031100,955,1657,1778,1341,1373,890,744,1062,186,9982
505031101,642,1152,1196,1079,941,662,550,781,124,7130
505031102,253,447,645,549,371,308,353,641,104,3666
505031104,386,636,805,667,596,439,490,720,93,4831
505031105,1470,2198,2018,1441,1544,1059,624,913,186,11460
505031106,0,0,0,0,0,0,0,0,0,3
505031107,849,1242,1245,867,950,656,505,612,120,7051
505031255,696,1218,1365,1128,922,611,559,638,96,7241
505031256,68,66,68,31,44,25,23,62,16,400
505031257,155,194,354,193,169,128,191,199,21,1596
505031258,444,596,912,685,599,380,504,545,101,4766
505031303,837,1317,1232,841,1044,575,514,586,113,7050
505031304,992,1639,1300,959,1236,846,541,759,109,8388
505031305,989,1602,1003,855,1093,713,442,654,98,7447
505031306,722,1124,1364,894,930,575,548,768,122,7054
506011110,644,1085,1583,1376,1152,821,1303,1291,222,9483
506011111,0,0,0,0,0,0,0,0,0,0
506011112,176,291,407,302,289,218,329,346,45,2408
506011114,396,714,841,598,612,381,523,544,84,4696
506011115,530,715,781,447,594,328,318,320,83,4119
506011116,571,794,693,370,481,306,256,261,37,3770
506011117,359,545,956,737,655,449,733,708,82,5229
506011307,683,1558,864,742,794,485,501,444,133,6211
506011308,896,2204,1317,1014,1161,577,639,605,122,8542
506021118,866,1576,1180,897,976,559,703,689,136,7572
506021119,1200,3098,1172,1092,1164,594,484,718,135,9654
506021120,0,0,0,0,0,0,0,0,0,0
506021121,0,0,0,0,0,0,0,0,0,0
506021123,1255,2972,1064,1073,1111,634,481,668,153,9412
506021309,369,760,723,557,546,385,472,481,98,4398
506021310,354,733,607,388,500,253,355,382,70,3648
506021311,714,1617,922,786,793,449,462,503,107,6348
506031124,824,2470,1287,1577,1047,826,789,1259,208,10280
506031125,711,1359,724,580,743,489,316,403,92,5409
506031126,0,0,0,0,0,0,0,0,0,0
506031127,727,1974,1616,1534,1160,811,1146,1415,250,10637
506031128,564,1521,1091,903,858,506,559,725,102,6820
506031129,930,2348,720,679,825,495,282,425,97,6794
506031130,0,0,0,3,0,0,4,0,0,10
506031131,985,3036,1053,1035,1124,715,414,683,127,9166
506041132,641,1388,1680,1251,1083,737,1074,1286,229,9370
506041133,1301,2929,1702,1321,1563,1048,901,1012,179,11961
506041134,507,898,1522,1123,1043,766,1243,1323,176,8597
506041135,1098,2106,1763,1339,1543,963,983,1059,188,11026
506041136,440,749,1230,861,742,491,861,952,160,6487
506041137,861,1742,1911,1390,1463,922,1150,1325,183,10944
506051138,933,1571,1823,1083,1381,761,1087,883,195,9722
506051139,572,779,1128,738,975,519,814,609,101,6237
